split,day,underlying,protocol,opt,strike,lots,entry,stop,target,exit_price,action,entry_charge,exit_charge,net
train,2025-04-22,NIFTY,ALPHA,PE,24300.0,18,145.55,109.16,200.13,176.71,THESIS_BROKEN,112.1,481.74,41472.16
train,2025-04-23,BANKNIFTY,BETA,CE,55100.0,45,290.8,218.1,399.84,397.85,TARGET,112.02,539.32,71606.92
train,2025-04-24,NIFTY,ALPHA,PE,24350.0,28,92.4,69.3,127.05,126.41,TARGET,110.99,533.43,70786.56
train,2025-04-29,NIFTY,ALPHA,CE,24200.0,21,123.55,92.66,169.88,169.03,TARGET,111.25,534.87,70988.94
train,2025-05-02,NIFTY,GAMMA,PE,24400.0,12,212.26,159.19,291.85,186.46,THESIS_BROKEN,109.65,345.89,-23669.24
train,2025-05-05,SENSEX,GAMMA,PE,81100.0,27,357.68,268.26,491.8,440.49,THESIS_BROKEN,103.68,471.9,44142.09
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,16,158.8,119.1,218.34,217.25,TARGET,109.43,524.25,69514.45
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,17,153.65,115.24,211.27,181.99,THESIS_BROKEN,111.84,469.2,35549.27
train,2025-05-05,NIFTY,ALPHA,PE,24600.0,18,146.43,109.82,201.34,200.34,TARGET,112.65,542.99,72116.49
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,43,232.01,174.01,319.02,173.14,STOP,106.35,304.23,-51041.4
train,2025-05-06,SENSEX,ALPHA,CE,80400.0,42,234.83,176.12,322.89,175.24,STOP,105.4,301.03,-50460.02
train,2025-05-06,NIFTY,GAMMA,PE,24500.0,22,118.4,88.8,162.81,152.19,THESIS_BROKEN,111.61,505.83,55121.62
train,2025-05-07,NIFTY,ALPHA,PE,24500.0,19,138.42,103.82,190.33,189.38,TARGET,112.46,541.86,71959.88
train,2025-05-13,SENSEX,ALPHA,CE,81400.0,35,281.42,211.07,386.96,210.01,STOP,105.29,300.67,-50393.9
train,2025-05-14,NIFTY,GAMMA,PE,24800.0,15,167.9,125.93,230.87,176.76,THESIS_BROKEN,108.68,405.49,9450.8
train,2025-05-15,FINNIFTY,BETA,CE,25900.0,12,389.18,291.88,535.12,411.08,THESIS_BROKEN,107.74,402.54,10003.76
train,2025-05-15,NIFTY,BETA,CE,24500.0,22,117.57,88.18,161.66,160.85,TARGET,110.97,533.29,70767.28
train,2025-05-15,NIFTY,BETA,CE,24550.0,23,114.14,85.6,156.94,156.15,TARGET,112.29,540.9,71824.95
train,2025-05-19,NIFTY,ALPHA,CE,24900.0,12,205.35,154.01,282.35,243.97,THESIS_BROKEN,106.83,445.28,34211.29
train,2025-05-19,SENSEX,ALPHA,CE,81800.0,24,406.74,305.05,559.26,420.64,THESIS_BROKEN,104.57,404.13,6163.42
train,2025-05-20,SENSEX,ALPHA,CE,81900.0,41,241.47,181.1,332.02,180.2,STOP,105.71,302.08,-50652.08
train,2025-05-20,SENSEX,GAMMA,PE,82200.0,39,251.15,188.36,345.33,343.61,TARGET,104.85,528.72,71481.59
train,2025-05-21,NIFTY,GAMMA,PE,24900.0,15,168.48,126.36,231.65,192.88,THESIS_BROKEN,108.98,440.32,26906.04
train,2025-05-27,BANKEX,ALPHA,CE,62400.0,16,411.44,308.58,565.74,307.04,STOP,105.5,301.37,-50520.75
train,2025-05-27,BANKEX,ALPHA,PE,63200.0,20,319.31,239.48,439.05,436.85,TARGET,103.05,517.6,69906.5
train,2025-05-22,NIFTY,ALPHA,CE,24400.0,25,105.56,79.17,145.14,144.41,TARGET,112.75,543.6,72202.03
train,2025-05-22,NIFTY,ALPHA,CE,24400.0,26,100.28,75.21,137.88,137.19,TARGET,111.69,537.36,71333.45
train,2025-05-27,FINNIFTY,ALPHA,CE,26250.0,16,300.96,225.72,413.82,340.79,THESIS_BROKEN,110.35,442.46,24936.79
train,2025-05-27,SENSEX,GAMMA,PE,82000.0,20,497.9,373.43,684.62,483.12,THESIS_BROKEN,106.19,387.81,-6406.7
train,2025-05-28,FINNIFTY,ALPHA,CE,26300.0,20,238.44,178.83,327.85,278.35,THESIS_BROKEN,109.51,451.24,31371.45
train,2025-05-28,BANKNIFTY,ALPHA,PE,55600.0,32,410.12,307.59,563.92,478.15,THESIS_BROKEN,112.28,464.37,32074.51
train,2025-05-28,FINNIFTY,ALPHA,PE,26600.0,28,177.85,133.39,244.54,216.41,THESIS_BROKEN,113.33,489.07,42589.84
train,2025-05-28,NIFTY,ALPHA,PE,24900.0,18,147.31,110.48,202.55,201.54,TARGET,113.17,546.11,72550.18
train,2025-05-29,NIFTY,ALPHA,CE,24700.0,22,117.7,88.28,161.84,124.92,THESIS_BROKEN,111.08,419.44,11386.19
train,2025-05-29,FINNIFTY,ALPHA,CE,26250.0,42,116.69,87.52,160.45,106.56,THESIS_BROKEN,111.9,367.41,-17486.79
train,2025-05-29,FINNIFTY,ALPHA,CE,26200.0,43,114.05,85.54,156.82,156.03,TARGET,111.96,538.99,71561.39
train,2025-06-03,SENSEX,ALPHA,CE,80900.0,19,507.01,380.26,697.14,544.17,THESIS_BROKEN,103.5,413.31,13601.52
train,2025-06-03,SENSEX,ALPHA,CE,80800.0,24,404.76,303.57,556.54,413.07,THESIS_BROKEN,104.16,397.28,3491.32
train,2025-06-03,SENSEX,ALPHA,CE,80900.0,23,419.89,314.92,577.35,361.04,THESIS_BROKEN,103.68,336.6,-27514.15
train,2025-06-03,SENSEX,ALPHA,CE,80800.0,27,369.12,276.84,507.53,275.45,STOP,106.26,303.94,-50988.32
